Модификация,Год,Автомобильный бренд,ТИП КУЗОВА,Модель,Страна марки,Класс автомобиля,Тип кузова,Количество дверей,Количество мест,Ширина (с зеркалами),Ширина,Длина,Высота,Колесная база,Колея передняя,Колея задняя,Объем багажника минимальный,Объем багажника максимальный,Дорожный просвет,ДВИГАТЕЛЬ,Тип двигателя,Расположение двигателя,Объем двигателя,Мощность,При оборотах в минуту,Мощность (кВт),Крутящий момент,Система питания,Тип наддува,Газораспределительный механизм,Расположение цилиндров,Количество цилиндров,Количество клапанов на цилиндр,Диаметр цилиндра и ход поршня,Степень сжатия,Модель двигателя,"Выбросы CO2, г/км",Экологический стандарт,ПОДВЕСКА,Тип передней подвески,Тип задней подвески,ТРАНСМИССИЯ,Тип КПП,Кол-во передач,Передаточное отношение главной пары,Привод,ТОРМОЗНАЯ СИСТЕМА,Передние тормоза,Задние тормоза,ЭКСПЛУАТАЦИОННЫЕ ПОКАЗАТЕЛИ,Максимальная скорость,Время разгона (0-100 км/ч),Расход топлива в городе на 100 км,Расход топлива на шоссе на 100 км,Снаряженная масса автомобиля,Расход топлива средний на 100 км,Допустимая полная масса,Объем топливного бака,Размер шин,Колесные диски (Размер),Запас хода,Полная зарядка,РУЛЕВОЕ УПРАВЛЕНИЕ,Диаметр разворота,Тип рулевого управления
Toyota Hilux I 2.0 MT (110 л.с.) Пикап Одинарная кабина 1968,1968,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1580 мм, 4215 мм, 1570 мм, 2540 мм, 1290 мм, 1290 мм, -, -, -,, Бензин," переднее, продольное", 1968 см³, 110 л.с., 5500, 81 кВт, 157 Нм, карбюратор, нет, -, рядное, 4, 2, 88.5 × 80 мм, 8.5, -,, -,," независимая, рессорная", зависимая (рессорная),, механика, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, -, -, -, 46 л., -, -, -, -,, -, -
Toyota Hilux V 2.0 MT (97 л.с.) Пикап Двойная кабина 1988,1988,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1790 мм, 4910 мм, 1765 мм, 2855 мм, 1475 мм, 1470 мм, -, -, 210 мм,, Бензин," переднее, поперечное", 1998 см³, 97 л.с., 4800, 71 кВт, 159 Нм, распределенный впрыск (многоточечный), нет, -, рядное, 4, 4, 86 × 86 мм, 8.8, -,, -,," независимая, торсионная", зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, 1580 кг, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.8d MT (91 л.с.) Пикап Двойная кабина 1988,1988,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 4910 мм, 1765 мм, 2855 мм, 1475 мм, 1470 мм, -, -, 220 мм,, Дизель," переднее, поперечное", 2779 см³, 91 л.с., 4000, 67 кВт, 188 Нм, распределенный впрыск (многоточечный),, OHC, рядное, 4, 4, 96.0x96.0 мм," 22,2", 3l,, -,," независимая, торсионная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, 1730 кг, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.8d AT (91 л.с.) Пикап Двойная кабина 1988,1988,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 4910 мм, 1765 мм, 2855 мм, 1475 мм, 1470 мм, -, -, 205 мм,, Дизель, -, 2779 см³, 91 л.с., 4000, 67 кВт, 188 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, 96x96 мм, 22, 3l,, -,," независимая, торсионная", зависимая (рессорная),, Автоматическая, 4, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux V 2.5d MT (97 л.с.) Пикап Двойная кабина 1988,1988,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 4910 мм, 1765 мм, 2855 мм, 1475 мм, 1470 мм, -, -, 205 мм,, Дизель," переднее, продольное", 2446 см³, 97 л.с., 3800, 71 кВт, 221 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, DOHC, рядное, 4, 2, 92x92 мм, 21, -,, -,," независимая, торсионная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux VI 3.0d AT (91 л.с.) Пикап Половина кабины 1997,1997,Toyota,,Hilux,,, Пикап полторы кабины, 2, 4, -, 1790 мм, 4975 мм, 1775 мм, 3090 мм, 1485 мм, 1470 мм, -, -, 195 мм,, Дизель," переднее, продольное", 2975 см³, 91 л.с., 4000, 67 кВт, 191 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, -, 22, 5l,, -,," независимая, торсионная", зависимая (рессорная),, Автоматическая, 4, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI 2.7 MT (145 л.с.) Пикап Половина кабины 1997,1997,Toyota,,Hilux,,, Пикап полторы кабины, 2, 4, -, 1790 мм, 4975 мм, 1775 мм, 3090 мм, 1485 мм, 1470 мм, -, -, 195 мм,, Бензин," переднее, продольное", 2694 см³, 145 л.с., 4800, 107 кВт, 235 Нм, распределенный впрыск (многоточечный),, DOHC, рядное, 4, 4, 95x95 мм," 9,5", 3rz-fe,, -,," независимая, торсионная", -,, Механическая, 5, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI 3.0d MT (91 л.с.) Пикап Половина кабины 1997,1997,Toyota,,Hilux,,, Пикап полторы кабины, 2, 4, -, 1790 мм, 4975 мм, 1775 мм, 3090 мм, 1485 мм, 1470 мм, -, -, 215 мм,, Дизель," переднее, поперечное", 2985 см³, 91 л.с., 4000, 67 кВт, 191 Нм, распределенный впрыск (многоточечный),, OHC, рядное, 4, 4, 99.5x96.0 мм," 22,2", 5l,, -,," независимая, торсионная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, -, -, -, -, 1660 кг, -, -, 76 л., 255/70/R15, -, -, -,, -, -
Toyota Hilux VI 2.7 AT (145 л.с.) Пикап Половина кабины 1997,1997,Toyota,,Hilux,,, Пикап полторы кабины, 2, 4, -, 1790 мм, 4975 мм, 1775 мм, 3090 мм, 1485 мм, 1470 мм, -, -, 195 мм,, Бензин," переднее, продольное", 2694 см³, 145 л.с., 4800, 107 кВт, 235 Нм, распределенный впрыск (многоточечный),, DOHC, рядное, 4, 4, 95x95 мм," 9,5", 3rz-fe,, -,," независимая, торсионная", -,, Автоматическая, 4, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux V 2.4 MT (82 л.с.) Пикап Половина кабины 1988,1988,Toyota,,Hilux, Япония, J, Пикап полторы кабины, 2, 5, -, 1690 мм, 4435 мм, 1750 мм, 2605 мм, 1430 мм, 1410 мм, - л., - л., 205 мм,, Дизель," переднее, продольное", 2429 см³, 82 л.с., 4200, 60 кВт, 167 Нм, -, нет, -, рядное, 4, 2, 92 × 92 мм, 22.2, -,, -,," независимая, рессорная", -,, механика, 5, -, Полный привод,, дисковые, барабанные,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux VI 3.0d MT (91 л.с.) Пикап Одинарная кабина 1997,1997,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Дизель," переднее, продольное", 2975 см³, 91 л.с., 4000, 67 кВт, 191 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, -, 22, 5l,, -,," независимая, торсионная", -,, Механическая, 5, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI 3.0d AT (91 л.с.) Пикап Одинарная кабина 1997,1997,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Дизель," переднее, продольное", 2975 см³, 91 л.с., 4000, 67 кВт, 191 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, -, 22, 5l,, -,," независимая, торсионная", -,, Автоматическая, 4, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux IV 2.4 AT (83 л.с.) Пикап Одинарная кабина 1983,1983,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 3, -, 1690 мм, 4435 мм, 1765 мм, 2605 мм, 1420 мм, 1400 мм, -, -, 200 мм,, Дизель," переднее, продольное", 2446 см³, 83 л.с., 4000, 61 кВт, 167 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), нет, -, рядное, 4, 2, 92 × 92 мм, 22.3, -,, -,, зависимая (рессорная), зависимая (рессорная),, автомат, 4, -, Задний,, дисковые, барабанные,, -, -, -, -, 1225 кг, -, 2335 кг, 65 л., -, -, -, -,, -, -
Toyota Hilux VI 3.0d AT (91 л.с.) Пикап Двойная кабина 1997,1997,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 4730 мм, 1795 мм, 2855 мм, 1485 мм, 1470 мм, -, -, 195 мм,, Дизель," переднее, продольное", 2975 см³, 91 л.с., 4000, 67 кВт, 191 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, -, 22, 5l,, -,," независимая, торсионная", зависимая (рессорная),, Автоматическая, 4, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 65 л., -, -, -, -,, -, -
Toyota Hilux VI 3.0d MT (91 л.с.) Пикап Двойная кабина 1997,1997,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 4730 мм, 1795 мм, 2855 мм, 1485 мм, 1470 мм, -, -, 215 мм,, Дизель," переднее, поперечное", 2985 см³, 91 л.с., 4000, 67 кВт, 191 Нм, распределенный впрыск (многоточечный),, OHC, рядное, 4, 4, 99.5x96.0 мм," 22,2", 5l,, -,," независимая, торсионная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, -, -, -, -, 1670 кг," 8,9 л.", -, 65 л., -, -, -, -,, -, -
Toyota Hilux VI Рестайлинг 3.0d MT (91 л.с.) Пикап Половина кабины 2001,2001,Toyota,,Hilux,,, Пикап полторы кабины, 2, 4, -, 1790 мм, 5035 мм, 1775 мм, 3090 мм, 1485 мм, 1470 мм, -, -, 215 мм,, Дизель," переднее, поперечное", 2985 см³, 91 л.с., 4000, 67 кВт, 191 Нм, распределенный впрыск (многоточечный),, OHC, рядное, 4, 4, 99.5x96.0 мм," 22,2", 5l,, -,," независимая, торсионная", зависимая (рессорная),, Механическая, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, -, -, -, -, 1690 кг," 8,9 л.", -, 76 л., 255/70/R15, -, -, -,, -, -
Toyota Hilux VI Рестайлинг 3.0d MT (91 л.с.) Пикап Одинарная кабина 2001,2001,Toyota,,Hilux,,, Пикап Одинарная кабина, 2, 2, -, 1665 мм, 4690 мм, 1775 мм, 2850 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Дизель," переднее, продольное", 2975 см³, 91 л.с., 4000, 67 кВт, 191 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, -, 22, 5l,, -,," независимая, торсионная", -,, Механическая, 5, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VII 2.5 MT (120 л.с.) Пикап Одинарная кабина 2004,2004,Toyota,,Hilux, Япония, J, Пикап Одинарная кабина, 2, 2, -, 1760 мм, 5255 мм, 1680 мм, 3085 мм, 1510 мм, 1510 мм, - л., - л., 203 мм,, Дизель," переднее, продольное", 2494 см³, 120 л.с., 3600, 88 кВт, 325 Нм, -, турбонаддув, -, рядное, 4, 4, 92 × 93.8 мм, 17.4, -, 197, Euro 4,," независимая, пружинная", зависимая (рессорная),, механика, 5, -, Задний,, дисковые вентилируемые, барабанные,, 165 км/ч, 13.5 сек., 9.6 л., 6.2 л., 1660 кг, 7.4 л., 2740 кг, 80 л., 205/70/R15, -, -, -,, -, -
Toyota Hilux VI Рестайлинг 3.0d MT (91 л.с.) Пикап Двойная кабина 2001,2001,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 5035 мм, 1795 мм, 2855 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Дизель," переднее, продольное", 2975 см³, 91 л.с., 4000, 67 кВт, 191 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, -, 22, 5l,, -,," независимая, торсионная", -,, Механическая, 5, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VI Рестайлинг 3.0d AT (91 л.с.) Пикап Двойная кабина 2001,2001,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 5035 мм, 1795 мм, 2855 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Дизель," переднее, продольное", 2975 см³, 91 л.с., 4000, 67 кВт, 191 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива),, OHC, рядное, 4, 2, -, 22, 5l,, -,," независимая, торсионная", -,, Автоматическая, 4, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VII 2.5 MT (120 л.с.) Пикап Двойная кабина 2004,2004,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1760 мм, 5255 мм, 1820 мм, 3085 мм, 1510 мм, 1510 мм, -, -, 212 мм,, Дизель," переднее, поперечное", 2494 см³, 120 л.с., 3600, 88 кВт, 325 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), турбонаддув, -, рядное, 4, 4, 92 × 93.8 мм, 17.4, -,, -,," независимая, пружинная", зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, 155 км/ч, 15 сек., 10.1 л., 7.2 л., 1875 кг, 8.3 л., 2710 кг, 80 л., 205/70/R16 255/70/R15, -, -, -,, -, -
Toyota Hilux VI Рестайлинг 2.7 MT (145 л.с.) Пикап Двойная кабина 2001,2001,Toyota,,Hilux,,, Пикап Двойная кабина, 4, 5, -, 1790 мм, 5035 мм, 1795 мм, 2855 мм, 1410 мм, 1420 мм, -, -, 195 мм,, Бензин," переднее, продольное", 2694 см³, 145 л.с., 4800, 107 кВт, 235 Нм, распределенный впрыск (многоточечный),, DOHC, рядное, 4, 4, 95x95 мм," 9,5", 3rz-fe,, -,," независимая, торсионная", -,, Механическая, 5, -, Полный привод,, дисковые вентилируемые, -,, -, -, -, -, -, -, -, 76 л., -, -, -, -,, -, -
Toyota Hilux VII 2.5 MT (120 л.с.) Пикап Двойная кабина 2004,2004,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 1760 мм, 5255 мм, 1820 мм, 3085 мм, 1510 мм, 1510 мм, -, -, 212 мм,, Дизель," переднее, поперечное", 2494 см³, 120 л.с., 3600, 88 кВт, 325 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), турбонаддув, -, рядное, 4, 4, 92 × 93.8 мм, 17.4, -,, -,," независимая, пружинная", зависимая (рессорная),, механика, 5, -, Задний,, дисковые вентилируемые, барабанные,, 165 км/ч, 13.5 сек., 9.7 л., 6.3 л., 1710 кг, 7.5 л., 2580 кг, 80 л., 205/70/R16 255/70/R15, -, -, -,, -, -
Toyota Hilux VII 3.0 AT (171 л.с.) Пикап Двойная кабина 2004,2004,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 2040 мм, 5255 мм, 1890 мм, 3085 мм, 1760 мм, 1760 мм, -, -, 255 мм,, Дизель," переднее, продольное", 2982 см³, 171 л.с., 3600, 126 кВт, 360 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), турбонаддув, -, рядное, 4, 4, 96 × 103 мм, 17.9, -,, Euro 4,," независимая, пружинная", зависимая (рессорная),, автомат, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, 170 км/ч, 11.9 сек., -, -, 2150 кг, -, 2760 кг, 80 л., -, -, -, -,, -, -
Toyota Hilux VII 3.0 AT (171 л.с.) Пикап Двойная кабина 2004,2004,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 2040 мм, 5255 мм, 1890 мм, 3085 мм, 1760 мм, 1760 мм, -, -, 290 мм,, Дизель," переднее, продольное", 2982 см³, 171 л.с., 3600, 126 кВт, 360 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), турбонаддув, -, рядное, 4, 4, 96 × 103 мм, 17.9, -,, Euro 4,," независимая, пружинная", зависимая (рессорная),, автомат, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, 160 км/ч, 11.9 сек., -, -, 2150 кг, 9.8 л., 2760 кг, 80 л., -, -, -, -,, -, -
Toyota Hilux VII 3.0 AT (171 л.с.) Пикап Двойная кабина 2004,2004,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 2040 мм, 5255 мм, 1890 мм, 3085 мм, 1760 мм, 1760 мм, -, -, 346 мм,, Дизель," переднее, продольное", 2982 см³, 171 л.с., 3600, 126 кВт, 360 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), турбонаддув, -, рядное, 4, 4, 96 × 103 мм, 17.9, -,, Euro 4,," независимая, пружинная", зависимая (рессорная),, автомат, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, 120 км/ч, -, -, -, 2210 кг, -, 2760 кг, 80 л., -, -, -, -,, -, -
Toyota Hilux VII 2.5 MT (144 л.с.) Пикап Двойная кабина 2004,2004,Toyota,,Hilux, Япония, J, Пикап Двойная кабина, 4, 5, -, 2040 мм, 5255 мм, 1890 мм, 3085 мм, 1760 мм, 1760 мм, -, -, 255 мм,, Дизель," переднее, продольное", 2494 см³, 144 л.с., 3400, 106 кВт, 343 Нм, двигатель с неразделенными камерами сгорания (непосредственный впрыск топлива), турбонаддув, -, рядное, 4, 4, 92 × 93.8 мм, 17.4, -,, Euro 4,," независимая, пружинная", зависимая (рессорная),, механика, 5, -, Полный привод,, дисковые вентилируемые, барабанные,, 165 км/ч, 12.8 сек., -, -, 2095 кг, -, 2690 кг, 80 л., -, -, -, -,, -, -
